,0.308244,0.546296,0.587814,0.630824
,0.397306,0.673611,0.683502,0.609428
,0.392308,0.692308,0.475000,0.425000
,0.535354,0.613636,0.688889,0.644444
,0.333846,0.820513,0.480000,0.455385
,0.404762,0.527778,0.571429,0.523810
,0.467033,0.615385,0.595238,0.761905
,0.581481,0.619048,0.577778,0.651852
,0.378788,0.488281,0.560606,0.674242
,0.417582,0.472527,0.369048,0.607143
,0.288690,0.512500,0.589286,0.732143
,0.486928,0.640523,0.640000,0.733333
,0.475758,0.597403,0.557576,0.472727
,0.381944,0.569444,0.527778,0.736111
,0.374074,0.515873,0.459259,0.814815
,0.384615,0.410256,0.380952,0.809524
,0.402941,0.476471,0.429412,0.711765
,0.305556,0.595238,0.579365,0.650794
,0.501190,0.630952,0.659524,0.635714
,0.560606,0.545455,0.633333,0.700000
,0.402428,0.596078,0.531429,0.668571
,0.241524,0.608627,0.614672,0.730502
,0.537255,0.604167,0.560784,0.529412
,0.314103,0.525641,0.583333,0.722222
,0.508929,0.625000,0.482143,0.482143
,0.420952,0.741176,0.840816,0.751020
,0.532738,0.625000,0.696429,0.589286
,0.537879,0.545455,0.454545,0.575758
,0.424000,0.680000,0.350000,0.394444
,0.401207,0.618590,0.665635,0.554180
,0.230769,0.681818,0.600000,0.723077
,0.372222,0.475000,0.477778,0.811111
,0.317382,0.572663,0.584416,0.624675
,0.308696,0.643478,0.609091,0.600000
,0.306818,0.534091,0.534091,0.704545
,0.326515,0.686364,0.616667,0.716667
,0.264444,0.605926,0.708148,0.637037
,0.437500,0.597222,0.486111,0.680556
,0.252632,0.557895,0.511111,0.600000
,0.341463,0.581062,0.607353,0.563235
,0.629371,0.600000,0.636364,0.696970
,0.469154,0.463415,0.464706,0.670588
,0.400966,0.594203,0.611111,0.762626
,0.592593,0.666667,0.814815,0.666667
,0.269444,0.605556,0.616667,0.816667
,0.391185,0.730028,0.747159,0.684659
,0.598684,0.592105,0.583333,0.777778
,0.275510,0.452381,0.530612,0.938776
,0.286458,0.489583,0.531250,0.572917
,0.398883,0.647436,0.648883,0.666253
,0.246324,0.610294,0.578125,0.656250
,0.506494,0.558442,0.371429,0.514286
