	0.393939	0.484211	0.631579	0.607143	0.333333	0.000000	0.035714	0.416667	0.750000	0.000000	0.111111	0.555556
	0.487395	0.533333	0.800000	0.100000	0.666667	0.766667	1.000000	1.000000	0.500000	0.680000	0.520000	0.000000
	0.566993	0.612745	0.687908	0.479167	0.347222	0.000000	0.060606	0.712121	0.651515	0.000000	0.015152	0.484848
	0.807487	0.676136	0.698864	0.020833	0.619048	0.047619	0.562500	0.904762	0.547619	0.375000	0.285714	0.057143
	0.675214	0.740741	0.666667	0.500000	0.833333	0.033333	0.875000	1.000000	0.583333	0.291667	0.750000	0.458333
	0.530303	0.476923	0.815385	0.450000	0.125000	0.000000	0.050000	0.687500	0.062500	0.000000	0.583333	0.666667
	0.551495	0.780952	0.590476	0.106667	0.293333	0.373333	0.442857	0.971429	0.614286	0.000000	0.228571	0.642857
	0.654286	0.684524	0.607143	0.455556	0.654321	0.000000	0.625000	1.000000	0.680556	0.687500	0.388889	0.208333
	0.561728	0.585799	0.810651	0.155556	0.722222	0.583333	0.511111	1.000000	0.194444	0.733333	0.472222	0.000000
	0.487879	0.366667	0.596970	0.850000	0.828571	0.000000	0.187500	0.742857	0.457143	0.000000	0.171429	0.628571
	0.728030	0.719403	0.798507	0.397516	0.000000	0.000000	0.137124	0.475524	0.031469	0.000000	0.069930	0.384615
	0.605263	0.453704	0.601852	0.357143	1.000000	0.607143	0.666667	0.958333	0.416667	0.708333	0.250000	0.000000
	0.429150	0.382716	0.703704	0.000000	0.428571	0.936508	0.111111	0.537037	0.222222	0.500000	0.018519	0.000000
	0.738782	0.677885	0.783654	0.256944	0.742647	0.110294	0.784722	1.000000	0.816176	0.173611	0.463235	0.632353
	0.661538	0.555556	0.523810	0.057143	0.114286	0.600000	0.821429	1.000000	0.750000	0.500000	0.607143	0.535714
	0.662338	0.613333	0.693333	0.250000	0.850000	0.500000	0.500000	0.900000	0.650000	0.266667	0.533333	0.000000
	0.625000	0.578231	0.682540	0.000000	0.330357	0.562500	0.343137	0.677083	0.177083	0.058824	0.531250	0.000000
	0.659341	0.678571	0.583333	0.800000	0.520000	0.200000	0.550000	1.000000	0.437500	0.300000	0.400000	0.000000
	0.576883	0.510758	0.597531	0.168889	0.325926	0.771852	0.250794	0.465079	0.120635	0.492063	0.000000	0.001587
	0.592677	0.566911	0.586110	0.000000	0.319712	0.020000	0.000000	0.151282	0.450667	0.551282	0.674359	0.229333
	0.710784	0.416667	0.489583	0.375000	0.854167	0.666667	0.562500	0.770833	0.500000	0.350000	0.000000	0.000000
	0.617857	0.484524	0.605952	0.841837	0.545918	0.112245	0.142857	0.664835	0.532967	0.000000	0.000000	0.390110
	0.789916	0.392857	0.392857	0.300000	0.833333	0.333333	0.566667	0.566667	0.708333	0.320000	0.000000	0.100000
	0.506793	0.544837	0.620924	0.068182	0.505682	0.537500	0.448485	0.169697	0.226667	0.545455	0.000000	0.000000
	0.540293	0.578297	0.682692	0.017206	0.239085	0.462578	0.338057	0.411642	0.185031	0.432186	0.410603	0.000000
	0.527473	0.694960	0.679045	0.555556	0.711111	0.123457	0.111111	0.988889	0.827160	0.000000	0.612500	0.416667
	0.740364	0.754815	0.723704	0.000000	0.185759	0.157895	0.303922	0.493464	0.000000	0.326797	0.009804	0.000000
	0.613445	0.535714	0.803571	0.000000	0.566667	0.416667	1.000000	0.966667	0.875000	0.800000	0.120000	0.000000
	0.446237	0.522374	0.610046	0.000000	0.056818	0.723485	0.028000	0.562500	0.650000	0.416000	0.433333	0.020833
	0.529412	0.511364	0.715909	0.000000	0.500000	0.777778	0.375000	1.000000	0.388889	0.600000	0.750000	0.000000
	0.710526	0.786325	0.786325	0.342857	0.821429	0.321429	0.633333	1.000000	0.458333	0.800000	0.791667	0.125000
	0.706250	0.744048	0.684524	0.500000	0.833333	0.833333	0.971429	1.000000	0.571429	0.285714	0.514286	0.428571
	0.625000	0.654902	0.592157	0.409091	0.742424	0.763636	0.383333	0.950000	0.280000	0.000000	0.450000	0.400000
	0.544974	0.439560	0.478022	0.744444	0.666667	0.074074	0.044444	0.543210	0.604938	0.000000	0.000000	0.543210
	0.758562	0.674628	0.683009	0.400746	0.000000	0.000000	0.169618	0.019571	0.000000	0.127413	0.583977	0.340734
	0.594444	0.594444	0.416667	0.000000	0.000000	0.388889	0.095238	0.761905	0.888889	0.666667	0.571429	0.416667
	0.625000	0.623810	0.757143	0.306122	0.877551	0.571429	0.775510	1.000000	0.346939	0.571429	0.500000	0.000000
	0.535714	0.544402	0.606178	0.707692	0.675000	0.166667	0.136752	0.851852	0.620370	0.000000	0.092593	0.444444
	0.717172	0.585859	0.585859	0.208333	0.785714	0.380952	0.708333	0.738095	0.857143	0.645833	0.095238	0.309524
	0.656250	0.475694	0.625000	0.593750	0.656250	0.351562	0.476562	0.968750	0.742188	0.000000	0.398438	0.375000
	0.673611	0.666667	0.568627	0.111111	0.694444	0.816667	0.513889	0.986111	0.233333	0.000000	0.722222	0.016667
	0.659148	0.502632	0.528947	0.120879	0.879121	0.630952	0.549451	0.890110	0.095238	0.362637	0.021978	0.000000
	0.650000	0.654567	0.792740	0.409524	0.375000	0.000000	0.169312	0.950000	0.088889	0.000000	0.283333	0.444444
	0.579787	0.521739	0.747826	0.027778	0.648438	0.695312	0.291667	0.898438	0.257812	0.518519	0.058333	0.000000
	0.694801	0.719394	0.686322	0.073780	0.279107	0.239103	0.090322	0.171635	0.246394	0.163186	0.268450	0.189924
