n,572.862327,0.614047
n,3045.849596,0.539902
n,4516.315179,0.163715
n,22.159715,1.194341
n,16.897316,1.115292
n,31.152193,0.874709
n,1088.126527,0.459918
n,1206.828704,0.750470
n,547.404215,0.801895
n,3705.639056,0.303082
y,427.207166,0.591585
n,178.886522,0.513833
n,23.069527,1.130195
n,23.248828,1.166392
y,2937.654306,0.448678
y,1300.582863,0.342809
n,98.907543,0.745568
n,1235.045815,0.426168
n,1184.399823,0.683391
y,24.578577,1.096333
y,23.681820,1.125238
n,2842.215471,0.172131
y,31.709423,0.945189
y,30.667941,0.966596
y,35.792060,0.824993
y,35.105815,0.841255
y,9466.138633,0.342604
y,63.705536,0.647866
y,65.549750,0.645914
y,62.400575,0.696795
y,63.040454,0.706741
n,170.565853,0.499833
n,614.727838,0.905470
n,1022.346637,0.298082
y,5879.024193,0.417347
n,457.495376,0.415602
y,59.979145,0.671727
y,69.026493,0.632176
y,18.356797,1.108194
y,17.663706,1.137143
y,65.852310,0.657848
y,64.953472,0.668361
y,36.873066,0.811466
y,35.801337,0.830825
n,315.176243,1.144123
n,4364.322032,0.193224
n,1815.761915,0.399148
n,599.026044,0.548574
n,601.412949,0.549544
n,95496.510723,0.450877
n,296.969029,0.644692
n,362.886847,0.469453
n,136.179382,0.680249
n,1757.991491,0.297498
n,582.858069,0.481507
n,254.752747,0.479260
n,35.019583,0.903255
n,7355.764845,0.133763
